name,len
eustachiusz,11
eustachy,8
eutropiusz,10
euzebia,7
euzebiusz,9
ewa,3
ewald,5
ewaryst,7
ewdokia,7
ewelin,6
ewelina,7
eweryst,7
ezechiel,8
fabia,5
fabian,6
fabiola,7
fabrycjan,9
fabrycy,7
faust,5
fausta,6
faustyn,7
faustyna,8
felicja,7
felicjan,8
felicjana,9
felicysym,9
felicyta,8
feliks,6
ferdynand,9
festus,6
fidelis,7
fides,5
filemon,7
filip,5
filipina,8
filomena,8
flawia,6
flawian,7
flawiusz,8
flora,5
florencjusz,11
florenty,8
florentyn,9
florentyna,10
florian,7
floryn,6
fortunat,8
fortunata,9
franciszek salezy,17
franciszek,10
franciszka,10
frumencjusz,11
fryda,5
fryderyk,8
fryderyka,9
frydolin,8
gabin,5
gabor,5
gabriel,7
gabriela,8
gajusz,6
galezy,6
gall,4
galla,5
gallina,7
ganda,5
gardenia,8
gaspar,6
gaudencja,9
gaudencjusz,11
gaudenty,8
gaweł,5
gawryła,7
gebhard,7
gedeon,6
genowefa,8
georgia,7
georgina,8
gerald,6
geraldyna,9
gerard,6
gerarda,7
gerhard,7
german,6
germanik,8
gertruda,8
gerwazy,7
gilbert,7
gilda,5
gizela,6
glikeria,8
gloria,6
gniewomir,9
gniewosz,8
goar,4
godfryd,7
godzimierz,10
godzimir,8
godzisław,9
godzisława,10
godzisz,7
gorgoncjusz,11
gorzysław,9
gosław,6
gościmił,8
gościmir,8
gościrad,8
gościsław,9
gościsława,10
gościwit,8
gotard,6
gotfryd,7
gracja,6
gracjan,7
gracjana,8
grażyna,7
greta,5
grodzisław,10
gryzelda,8
grzegorz,8
grzymisław,10
grzymisława,11
gustaw,6
gustawa,7
gwidon,6
ida,3
idalia,6
idzi,4
ifigenia,8
iga,3
ignacja,7
ignacy,6
igor,4
ildefons,8
ilia,4
ilona,5
ilza,4
imisław,7
imisława,8
inez,4
inga,4
ingeborga,9
ingrida,7
innocenta,9
innocenty,9
irena,5
ireneusz,8
irina,5
irma,4
irmina,6
irwin,5
iryda,5
irydion,7
isaura,6
ismena,6
ita,3
iwa,3
iwan,4
iwetta,6
iwo,3
iwon,4
iwona,5
izaak,5
izabela,7
izolda,6
izyda,5
izydor,6
jacek,5
jacenty,7
jacław,6
jaczewoj,8
jadwiga,7
jagoda,6
jakobina,8
jakub,5
jan chryzostom,14
jan gwalbert,12
jan kanty,9
jan nepomucen,13
jan,3
janina,6
janisław,8
januaria,8
january,7
janusz,6
jarema,6
jarmiła,7
jarogniew,9
jaromir,7
jaropełk,8
jarosław,8
jarosława,9
jaśmina,7
jazon,5
jeremi,6
jeremiasz,9
jeron,5
jerosława,9
jerzy,5
jewdocha,8
jędrzej,7
joachim,7
joachima,8
joanna,6
job,3
jolanta,7
jonasz,6
jonatan,7
jordan,6
jowita,6
jozafat,7
józef,6
józefa,7
józefat,8
józefina,9
juda,4
judyta,6
julia,5
julian,6
julianna,8
julietta,8
julita,6
juliusz,7
jurand,6
jurata,6
justyn,6
justyna,7
justynian,9
kacper,6
kaja,4
kajetan,7
kajus,5
kalasanty,9
kalikst,7
kaliksta,8
kalina,6
kalistrat,9
kallina,7
kamelia,7
kamil,5
kamila,6
kandyd,6
kanizjusz,9
kanut,5
karena,6
karina,6
karol boromeusz,15
karol,5
karolin,7
karolina,8
karp,4
kasjan,6
kasjana,7
kasper,6
kastor,6
katarzyna,9
kazimiera,9
kazimierz,9
kiejstut,8
kilian,6
kinga,5
kir,3
kira,4
kirył,5
klara,5
klarysa,7
klaudia,7
klaudian,8
klaudiusz,9
klaudyna,8
klemencja,9
klemens,7
klement,7
klementyn,9
klementyna,10
kleofas,7
kleopatra,9
klet,4
klotylda,8
koleta,6
kolombina,9
kondrat,7
konrad,6
konrada,7
konradyn,8
konradyna,9
konstancja,10
konstancjusz,12
konstans,8
konstanty,9
konstantyn,10
kordelia,8
kordian,7
kordula,7
kornel,6
korneli,7
kornelia,8
korneliusz,10
kosma,5
kryspin,7
kryspina,8
krystian,8
krystiana,9
krystyn,7
krystyna,8
krzesimir,9
krzesisław,10
krzesisława,11
krzysztof,9
krzywosąd,9
ksawera,7
ksawery,7
ksaweryna,9
ksenia,6
ksenofont,9
kunegunda,9
kwiatosława,11
kwiryn,6
kwiryna,7
lambert,7
lamberta,8
larysa,6
laura,5
laurencja,9
laurencjusz,11
laurenty,8
laurentyn,9
laurentyna,10
laza,4
lea,3
leander,7
lech,4
lechosław,9
lechosława,10
lena,4
lenart,6
leodegar,8
leokadia,8
leon,4
leona,5
leonard,7
leonarda,8
leoncjusz,9
leonia,6
leonid,6
leonida,7
leonidas,8
leontyna,8
leopard,7
leopold,7
leopoldyna,10
lesław,6
lesława,7
leszek,6
lew,3
lewin,5
liberat,7
liberata,8
libert,6
liboriusz,9
lidia,5
ligia,5
lilian,6
liliana,7
lilianna,8
lilla,5
linda,5
liwia,5
liwiusz,7
liza,4
loda,4
lolita,6
longin,6
longina,7
longinus,8
loretta,7
luba,4
lubogost,8
lubomierz,9
lubomir,7
lubomira,8
lubomysł,8
lubor,5
lubosław,8
lubosza,7
lucja,5
lucjan,6
lucjol,6
lucjola,7
lucjusz,7
lucylla,7
lucyna,6
ludgarda,8
ludmiła,7
ludomił,7
ludomiła,8
ludomir,7
ludomira,8
ludosław,8
ludwik,6
ludwika,7
ludwina,7
luiza,5
lukrecja,8
lutobor,7
lutogniew,9
lutomir,7
lutomysł,8
lutosław,8
ładysław,8
łazarz,6
łękomir,7
łucja,5
łucjan,6
łucjusz,7
łukasz,6
machabeusz,10
maciej,6
madlena,7
magda,5
magdalena,9
magnus,6
maja,4
makary,6
maksym,6
maksymilian,11
maksymin,8
malina,6
malkolm,7
malwin,6
malwina,7
małgorzata,10
mamert,6
manfred,7
manfreda,8
manswet,7
manuela,7
marcel,6
marcela,7
marceli,7
marcelin,8
marcelina,9
marcin,6
marcjal,7
marcjan,7
marcjanna,9
marek,5
margareta,9
maria magdalena,15
maria,5
marian,6
marianna,8
marietta,8
marika,6
marina,6
mariola,7
marita,6
mariusz,7
marlena,7
marta,5
martyn,6
martyna,7
martynian,9
maryla,6
maryna,6
marzanna,8
marzena,7
masław,6
materna,7
mateusz,7
matron,6
matylda,7
maur,4
maura,5
maurycy,7
mauryn,6
mechtylda,9
medard,6
melania,7
melchior,8
metoda,6
metody,6
męcimir,7
michalina,9
michał,6
mieczysław,10
mieczysława,11
mieszko,7
mikołaj,7
milena,6
milenia,7
miligost,8
miła,4
miłogost,8
miłorad,7
mirosław,8
mirosława,9
miłosz,6
miłowan,7
miłowit,7
mina,4
mindora,7
minodora,8
mira,4
mirabella,9
miranda,7
mirella,7
mirogniew,9
miromir,7
miron,5
mironieg,8
mironiega,9
miłosław,8
miłosława,9
modest,6
modesta,7
mojmir,6
mokij,5
monika,6
morzysław,9
mścibor,7
mścigniew,9
mścisław,8
mścisława,9
mściwój,7
myślibor,8
myślimir,8
naczesław,9
nadbor,6
nadia,5
nadmir,6
nadzieja,8
namysław,8
napoleon,8
narcyz,6
narcyza,7
natalia,7
natalis,7
natasza,7
naum,4
nawoj,5
nelly,5
nemezjusz,9
nestor,6
nicefor,7
niecisław,9
niedamir,8
niegomir,8
niegosław,9
niegosława,10
niemir,6
niezamysł,9
nieznamir,9
nikanor,7
nikifor,7
nikita,6
nikodem,7
nimfa,5
nina,4
ninogniew,9
ninomysł,8
noe,3
nonna,5
nora,4
norbert,7
norberta,8
norma,5
norman,6
nosisław,8
oda,3
odil,4
odila,5
odilla,6
odo,3
odon,4
odyseusz,8
ofelia,6
oksana,6
oktawia,7
oktawian,8
oktawiusz,9
olaf,4
olech,5
oleg,4
olga,4
olgierd,7
olimpia,7
oliwia,6
oliwier,7
onufry,6
orchidea,8
orestes,7
orfeusz,7
oriana,6
oskar,5
ostap,5
oswald,6
oswalda,7
otomar,6
otto,4
otton,5
otylia,6
ozanna,6
pafnucy,7
pakosław,8
pakosz,6
paloma,6
pankracy,8
pantaleon,9
paramon,7
parys,5
paschalis,9
patrycja,8
patrycjusz,10
